Date,Open,High,Low,Close,Adj Close,Volume
2017-04-20,405.375000,407.950012,404.299988,407.450012,389.511200,1079608
2017-04-21,408.500000,410.725006,403.899994,406.375000,388.483551,1780310
2017-04-24,406.500000,412.000000,404.625000,409.774994,391.733856,1373968
2017-04-25,412.000000,412.924988,406.799988,409.975006,391.925049,2194602
2017-04-26,410.950012,411.000000,398.274994,400.125000,382.508789,1918248
2017-04-27,398.500000,410.000000,398.100006,404.850006,387.025665,5640334
2017-04-28,406.450012,410.000000,399.875000,407.049988,389.128845,2794138
2017-05-02,408.075012,412.725006,405.850006,411.024994,392.928864,1722732
2017-05-03,412.475006,418.750000,410.500000,417.549988,399.166565,1989864
2017-05-04,418.049988,421.299988,404.075012,409.000000,390.993011,2758496
2017-05-05,410.475006,416.000000,407.149994,414.799988,396.537628,1856816
2017-05-08,414.924988,422.500000,412.850006,420.100006,401.604309,1581634
2017-05-09,422.500000,427.424988,419.975006,424.875000,406.169067,1814522
2017-05-10,424.375000,425.450012,419.049988,421.799988,403.229401,1515412
2017-05-11,428.899994,429.399994,417.799988,419.350006,400.887360,7029834
2017-05-12,420.000000,424.100006,419.524994,423.825012,405.165314,3295402
2017-05-15,424.250000,425.000000,422.500000,424.274994,405.595459,1375146
2017-05-16,425.000000,428.049988,424.024994,424.799988,406.097321,5948804
2017-05-17,426.000000,427.649994,421.100006,426.774994,407.985321,2747118
2017-05-18,425.424988,436.125000,422.125000,424.200012,405.523773,7317362
2017-05-19,426.500000,427.250000,422.049988,422.350006,403.755188,2896062
2017-05-22,425.000000,431.125000,424.000000,428.725006,409.849640,5784538
2017-05-23,431.500000,435.399994,429.575012,432.450012,413.410583,6427042
2017-05-24,427.450012,428.975006,420.000000,427.424988,411.461151,4033036
2017-05-25,430.125000,433.750000,426.299988,429.799988,413.747498,5896078
2017-05-26,428.850006,433.000000,427.725006,429.549988,413.506805,2604830
2017-05-29,429.450012,436.000000,425.725006,432.225006,416.081940,3686630
2017-05-30,432.225006,435.975006,426.475006,434.075012,417.862854,2826830
2017-05-31,432.049988,434.649994,429.125000,432.125000,415.985718,5747114
2017-06-01,431.500000,435.500000,429.575012,431.125000,415.022949,1843166
2017-06-02,431.399994,434.850006,426.850006,428.950012,412.929260,2223574
2017-06-05,428.000000,433.450012,428.000000,429.350006,413.314270,2816618
2017-06-06,437.750000,454.799988,433.049988,444.725006,428.115082,13253770
2017-06-07,446.674988,447.450012,432.274994,440.250000,423.807190,6733948
2017-06-08,440.000000,440.200012,432.500000,434.174988,417.959106,2830620
2017-06-09,433.274994,436.450012,428.299988,430.375000,414.301025,2701028
2017-06-12,431.399994,434.325012,426.024994,432.774994,416.611237,2065426
2017-06-13,431.000000,432.450012,421.149994,423.575012,407.755005,2487790
2017-06-14,424.750000,428.024994,420.500000,426.825012,410.883636,1801536
2017-06-15,426.500000,426.500000,420.750000,422.200012,406.431366,3547290
2017-06-16,421.000000,423.500000,417.500000,419.500000,403.832184,3824660
2017-06-19,419.750000,422.950012,415.149994,421.250000,405.516815,1690856
2017-06-20,422.500000,427.524994,421.500000,427.125000,411.172363,2082258
2017-06-21,427.000000,427.000000,419.049988,421.725006,405.974060,1819308
2017-06-22,424.500000,427.000000,418.100006,424.575012,408.717590,2895584
2017-06-23,425.000000,429.000000,421.174988,425.924988,410.017181,2161888
2017-06-27,426.000000,429.500000,416.600006,420.100006,404.409790,2184790
2017-06-28,419.250000,428.625000,416.649994,424.200012,408.356628,2476764
2017-06-29,425.950012,428.500000,421.250000,423.799988,407.971558,2984220
2017-06-30,424.225006,427.975006,419.200012,425.450012,409.559967,2257114
2017-07-03,426.000000,426.975006,416.149994,419.075012,403.423096,3953676
2017-07-04,424.200012,424.975006,419.000000,420.774994,405.059509,1981500
2017-07-05,419.500000,420.600006,417.549988,418.750000,403.110199,2420508
2017-07-06,420.000000,421.200012,417.850006,420.325012,404.626373,1373060
2017-07-07,420.250000,420.250000,414.399994,415.950012,400.414764,2303234
2017-07-10,419.200012,426.899994,419.000000,424.825012,408.958313,390438
2017-07-11,422.825012,434.500000,422.825012,425.325012,409.439606,2993400
2017-07-12,425.049988,429.250000,423.024994,427.000000,411.052063,1205956
2017-07-13,428.049988,431.950012,427.750000,429.299988,413.266174,1912818
2017-07-14,430.000000,430.200012,422.524994,425.174988,409.295197,1288116
2017-07-17,424.500000,435.000000,421.950012,434.049988,417.838776,1818014
2017-07-18,434.549988,442.149994,434.174988,440.350006,423.903442,1977378
2017-07-19,442.500000,449.799988,442.500000,447.700012,430.979004,2912888
2017-07-20,449.500000,449.500000,441.200012,442.825012,426.285980,1613768
2017-07-21,442.000000,454.000000,442.000000,452.475006,435.575592,2483620
2017-07-24,452.475006,456.000000,450.600006,453.700012,436.754913,3004440
2017-07-25,451.000000,452.450012,443.000000,447.524994,430.810425,3584666
2017-07-26,446.500000,451.750000,442.000000,446.350006,429.679352,3023714
2017-07-27,451.500000,464.000000,442.674988,445.125000,428.500092,9319652
2017-07-28,444.000000,448.450012,420.500000,446.549988,429.871887,3042762
2017-07-31,444.000000,449.000000,439.225006,446.450012,429.775604,1894566
2017-08-01,444.500000,449.000000,439.000000,442.100006,425.588135,2664554
2017-08-02,444.000000,446.500000,438.450012,441.000000,424.529175,1658180
2017-08-03,441.100006,442.200012,435.475006,437.875000,422.478882,2544010
2017-08-04,437.500000,447.250000,436.549988,445.325012,429.666901,1141420
2017-08-07,445.000000,447.350006,440.700012,443.000000,427.423645,1646970
2017-08-08,441.299988,442.700012,438.049988,441.000000,425.494019,1731896
2017-08-09,435.500000,442.325012,435.500000,439.375000,423.926147,1071692
2017-08-10,436.524994,443.000000,435.399994,441.450012,425.928223,1693074
2017-08-11,439.049988,444.600006,432.274994,436.149994,420.814575,3384860
2017-08-14,436.500000,439.200012,428.024994,430.049988,414.929016,808098
2017-08-16,432.000000,434.325012,425.500000,432.250000,417.051697,2250010
2017-08-17,436.200012,437.549988,430.375000,435.700012,420.380341,1602350
2017-08-18,436.924988,442.350006,431.774994,438.125000,422.720123,2129910
2017-08-21,438.875000,442.500000,435.100006,437.024994,421.658752,1339674
2017-08-22,440.500000,443.125000,436.649994,437.924988,422.527130,1506462
2017-08-23,438.950012,441.475006,431.500000,440.000000,424.529175,1509778
2017-08-24,442.000000,442.000000,433.000000,433.750000,418.498932,1624246
2017-08-28,434.149994,437.274994,428.924988,433.825012,418.571289,1792508
2017-08-29,434.000000,434.799988,425.000000,426.274994,411.286774,1945588
2017-08-30,428.500000,429.000000,421.625000,424.600006,409.670685,3387850
2017-08-31,425.000000,435.200012,420.100006,432.649994,417.437653,5019082
