Date,Open,High,Low,Close,Adj Close,Volume
2017-05-30,1280.000000,1287.974976,1262.500000,1275.550049,1172.105103,927634
2017-05-31,1266.500000,1286.250000,1264.000000,1273.300049,1170.037354,2502730
2017-06-01,1265.000000,1282.000000,1265.000000,1276.800049,1173.253662,1080064
2017-06-02,1278.125000,1295.925049,1276.250000,1282.449951,1178.445190,1355648
2017-06-05,1282.500000,1309.949951,1280.074951,1301.974976,1196.386841,1500188
2017-06-06,1315.500000,1354.474976,1315.000000,1348.000000,1238.679565,5946720
2017-06-07,1348.500000,1350.000000,1288.275024,1307.625000,1201.578491,4927776
2017-06-08,1299.000000,1302.474976,1257.750000,1260.800049,1158.551025,3330714
2017-06-09,1260.000000,1273.699951,1243.000000,1253.500000,1151.843384,3148034
2017-06-12,1248.500000,1256.449951,1235.199951,1243.599976,1142.746094,1626506
2017-06-13,1232.500000,1240.550049,1223.500000,1225.775024,1138.959595,1175414
2017-06-14,1227.500000,1238.000000,1227.500000,1235.099976,1147.624146,1489142
2017-06-15,1234.500000,1234.849976,1202.500000,1205.599976,1120.213623,2997198
2017-06-16,1207.474976,1217.500000,1193.250000,1199.849976,1114.870850,2450426
2017-06-19,1208.449951,1223.175049,1202.574951,1215.849976,1129.737549,1644742
2017-06-20,1215.500000,1224.500000,1190.150024,1222.500000,1135.916748,1670958
2017-06-21,1220.000000,1221.074951,1198.599976,1203.150024,1117.937134,1657818
2017-06-22,1204.500000,1215.500000,1192.500000,1197.425049,1112.617676,5775882
2017-06-23,1199.699951,1206.974976,1177.000000,1180.849976,1097.216309,1424756
2017-06-27,1175.300049,1192.349976,1165.800049,1171.425049,1088.458984,1974330
2017-06-28,1174.949951,1179.000000,1167.500000,1175.025024,1091.804077,1789726
2017-06-29,1179.500000,1186.025024,1161.550049,1166.625000,1083.999023,2471826
2017-06-30,1162.199951,1188.500000,1161.550049,1181.175049,1097.518433,1753848
2017-07-03,1178.699951,1191.525024,1171.550049,1186.800049,1102.745117,1475956
2017-07-04,1186.650024,1190.224976,1175.025024,1183.425049,1099.609009,1215134
2017-07-05,1180.400024,1182.500000,1172.500000,1178.000000,1094.568237,815856
2017-07-06,1179.500000,1180.949951,1170.050049,1173.775024,1090.642700,1026788
2017-07-07,1175.000000,1178.224976,1162.750000,1165.974976,1083.395020,1232090
2017-07-10,1203.000000,1222.449951,1189.474976,1217.474976,1131.247559,783608
2017-07-11,1213.000000,1257.400024,1213.000000,1237.900024,1150.226196,3537504
2017-07-12,1241.250000,1241.650024,1215.050049,1219.724976,1133.338135,2646450
2017-07-13,1222.500000,1236.000000,1213.300049,1223.199951,1136.566895,3131960
2017-07-14,1191.500000,1212.500000,1187.500000,1198.724976,1113.825684,4508432
2017-07-17,1198.849976,1211.050049,1191.099976,1197.724976,1112.896240,2211822
2017-07-18,1198.074951,1221.500000,1198.074951,1204.175049,1118.889282,1908002
2017-07-19,1207.750000,1230.000000,1207.550049,1224.800049,1138.053833,3915576
2017-07-20,1224.625000,1228.449951,1215.250000,1222.349976,1135.777222,1182504
2017-07-21,1217.449951,1250.000000,1217.275024,1245.599976,1157.380371,2148416
2017-07-24,1241.000000,1270.000000,1241.000000,1265.349976,1179.044434,2271402
2017-07-25,1262.875000,1290.000000,1259.199951,1285.750000,1198.053101,2678832
2017-07-26,1280.000000,1287.500000,1273.500000,1278.000000,1190.831909,1459826
2017-07-27,1271.099976,1292.400024,1233.250000,1240.849976,1156.215698,4255304
2017-07-28,1240.500000,1246.525024,1221.000000,1242.150024,1157.426880,1382752
2017-07-31,1235.500000,1259.500000,1231.500000,1245.900024,1160.921265,2019662
2017-08-01,1250.000000,1260.375000,1245.500000,1250.824951,1165.510254,1747460
2017-08-02,1250.000000,1254.000000,1231.000000,1236.900024,1152.535156,1251024
2017-08-03,1240.000000,1251.000000,1233.224976,1244.724976,1159.826538,1882548
2017-08-04,1245.400024,1264.150024,1244.000000,1261.400024,1175.364014,1387890
2017-08-07,1258.250000,1260.000000,1240.599976,1251.724976,1166.348877,1885520
2017-08-08,1256.000000,1264.300049,1248.150024,1251.525024,1166.162354,1073958
2017-08-09,1250.000000,1261.425049,1246.650024,1256.000000,1170.332397,992946
2017-08-10,1254.500000,1260.300049,1243.175049,1255.724976,1170.076416,1526172
2017-08-11,1249.949951,1267.500000,1241.500000,1248.025024,1162.901367,1394736
2017-08-14,1251.500000,1254.949951,1231.500000,1234.699951,1150.485352,786504
2017-08-16,1242.000000,1271.900024,1232.599976,1246.175049,1161.177612,1373340
2017-08-17,1250.349976,1252.500000,1231.050049,1242.824951,1158.055908,1752374
2017-08-18,1237.000000,1274.949951,1235.699951,1256.900024,1171.170898,2837356
2017-08-21,1252.750000,1274.500000,1247.150024,1264.400024,1178.159790,2304834
2017-08-22,1261.500000,1269.750000,1246.000000,1248.775024,1163.600220,1131326
2017-08-23,1252.500000,1258.400024,1236.574951,1244.724976,1159.826538,1562272
2017-08-24,1248.849976,1258.974976,1243.074951,1248.300049,1163.157715,1623908
2017-08-28,1252.300049,1252.699951,1230.500000,1243.650024,1158.825073,2036796
2017-08-29,1241.000000,1248.000000,1231.974976,1235.425049,1151.160767,1312602
2017-08-30,1240.500000,1245.000000,1230.050049,1242.275024,1157.543335,970782
2017-08-31,1242.500000,1252.199951,1233.324951,1248.175049,1163.041138,1784664
2017-09-01,1240.000000,1249.025024,1218.275024,1228.224976,1144.451904,1702330
2017-09-04,1226.550049,1230.500000,1219.000000,1228.099976,1144.335571,1062544
2017-09-05,1230.000000,1245.000000,1218.525024,1242.175049,1157.450684,1165994
2017-09-06,1234.074951,1237.425049,1225.000000,1226.599976,1142.937744,1228764
2017-09-07,1229.000000,1234.199951,1225.525024,1230.050049,1146.152466,870636
2017-09-08,1226.875000,1237.000000,1226.275024,1235.300049,1151.044189,1021134
